Load address: $1800 Init address: $1800 Play address: $1806
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   110 | ....  ... ..  .. .... 2DC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   111 | ....  ... ..  .. .... 2FE | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   112 | ....  ... ..  .. .... 320 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   113 | ....  ... ..  .. .... 342 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   114 | ....  ... ..  .. .... 364 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   115 | ....  ... ..  .. .... 386 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   116 | ....  ... ..  .. .... 3A8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   117 | ....  ... ..  .. .... 3CA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   118 | ....  ... ..  .. .... 3EC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   119 | ....  ... ..  .. .... 40E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   120 | ....  ... ..  .. .... 430 | 10C3  B-3 AF  41 0DFA 400 | 0861  B-2 A3  41 0DFA 400 | .... .. ... . |
|   121 | ....  ... ..  .. .... 452 | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... 4A0 | .... .. ... . |
|   122 | ....  ... ..  .. .... 474 | ....  ... ..  40 .... 540 | ....  ... ..  40 .... 540 | .... .. ... . |
|   123 | ....  ... ..  .. .... 496 | ....  ... ..  .. .... 5E0 | ....  ... ..  .. .... 5E0 | .... .. ... . |
|   124 | ....  ... ..  .. .... 4B8 | ....  ... ..  .. .... 680 | ....  ... ..  .. .... 680 | .... .. ... . |
|   125 | ....  ... ..  .. .... 4DA | ....  ... ..  .. .... 6E0 | ....  ... ..  .. .... 6E0 | .... .. ... . |
|   126 | ....  ... ..  .. .... 4FC | ....  ... ..  .. .... 740 | ....  ... ..  .. .... 740 | .... .. ... . |
|   127 | ....  ... ..  .. .... 51E | ....  ... ..  .. .... 7A0 | ....  ... ..  .. .... 7A0 | .... .. ... . |
|   128 | ....  ... ..  .. .... 540 | ....  ... ..  .. .... 800 | ....  ... ..  .. .... 800 | .... .. ... . |
|   129 | ....  ... ..  .. .... 562 | ....  ... ..  .. .... 840 | ....  ... ..  .. .... 840 | .... .. ... . |
|   130 | ....  ... ..  .. .... 584 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... 880 | .... .. ... . |
|   131 | ....  ... ..  .. .... 5A6 | ....  ... ..  .. .... 8C0 | ....  ... ..  .. .... 8C0 | .... .. ... . |
|   132 | ....  ... ..  .. .... 5C8 | 0FD2  A#3 AE  41 .... 400 | 07E9  A#2 A2  41 .... 400 | .... .. ... . |
|   133 | ....  ... ..  .. .... 5EA | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... 4A0 | .... .. ... . |
|   134 | ....  ... ..  .. .... 60C | ....  ... ..  40 .... 540 | ....  ... ..  40 .... 540 | .... .. ... . |
|   135 | ....  ... ..  .. .... 62E | ....  ... ..  .. .... 5E0 | ....  ... ..  .. .... 5E0 | .... .. ... . |
|   136 | ....  ... ..  .. .... 650 | ....  ... ..  .. .... 680 | ....  ... ..  .. .... 680 | .... .. ... . |
|   137 | ....  ... ..  .. .... 672 | ....  ... ..  .. .... 6E0 | ....  ... ..  .. .... 6E0 | .... .. ... . |
|   138 | ....  ... ..  .. .... 694 | ....  ... ..  .. .... 740 | ....  ... ..  .. .... 740 | .... .. ... . |
|   139 | ....  ... ..  .. .... 6B6 | ....  ... ..  .. .... 7A0 | ....  ... ..  .. .... 7A0 | .... .. ... . |
|   140 | ....  ... ..  .. .... 6D8 | ....  ... ..  .. .... 800 | ....  ... ..  .. .... 800 | .... .. ... . |
|   141 | ....  ... ..  .. .... 6FA | ....  ... ..  .. .... 840 | ....  ... ..  .. .... 840 | .... .. ... . |
|   142 | ....  ... ..  .. .... 71C | ....  ... ..  .. .... 880 | ....  ... ..  .. .... 880 | .... .. ... . |
|   143 | ....  ... ..  .. .... 73E | ....  ... ..  .. .... 8C0 | ....  ... ..  .. .... 8C0 | .... .. ... . |
|   144 | ....  ... ..  .. .... 760 | ....  ... ..  .. .... 900 | ....  ... ..  .. .... 900 | .... .. ... . |
|   145 | ....  ... ..  .. .... 782 | ....  ... ..  .. .... 940 | ....  ... ..  .. .... 940 | .... .. ... . |
|   146 | ....  ... ..  .. .... 7A4 | ....  ... ..  .. .... 980 | ....  ... ..  .. .... 980 | .... .. ... . |
