Load address: $AF80 Init address: $BFF8 Play address: $B000
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   104 | 0AF7  ... ..  01 0015 ... | 0938 (C#3 A5) .. .... 200 | 063D (- 000B) .. .... 6A0 | .... .. ... . |
|   105 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0632 (- 000B) .. .... 680 | EF00 .. ... . |
|   106 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0627 (- 000B) .. .... 660 | EE00 .. ... . |
|   107 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 061C (- 000B) .. .... 640 | ED00 .. ... . |
|   108 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 0611 (- 000B) .. .... 620 | EC00 .. ... . |
|   109 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 061C (+ 000B) .. .... 600 | EB00 .. ... . |
|   110 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0627 (+ 000B) .. .... 5E0 | EA00 .. ... . |
|   111 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 5C0 | E900 .. ... . |
|   112 | 0AF7  ... ..  01 00D5 ... | 0938 (C#3 A5) .. .... 200 | 063D (+ 000B) .. .... 5A0 | .... .. ... . |
|   113 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 580 | EF00 .. ... . |
|   114 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 560 | EE00 .. ... . |
|   115 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 540 | ED00 .. ... . |
|   116 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 0627 (- 000B) .. .... 520 | EC00 .. ... . |
|   117 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... 500 | EB00 .. ... . |
|   118 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 4E0 | EA00 .. ... . |
|   119 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 4C0 | E900 .. ... . |
|   120 | 0AF7  ... ..  01 0095 ... | 1270 (C#4 B1) .. .... 200 | 0627 (+ 000B) .. .... 4A0 | .... .. ... . |
|   121 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 480 | EF00 .. ... . |
|   122 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 460 | EE00 .. ... . |
|   123 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 440 | ED00 .. ... . |
|   124 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 063D (- 000B) .. .... 420 | EC00 .. ... . |
|   125 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (- 000B) .. .... 400 | EB00 .. ... . |
|   126 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0627 (- 000B) .. .... 3E0 | EA00 .. ... . |
|   127 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (- 000B) .. .... 3C0 | E900 .. ... . |
|   128 | 15ED  ... ..  01 00E4 ... | 0938 (C#3 A5) .. .... 200 | 0611 (- 000B) .. .... 3A0 | .... .. ... . |
|   129 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (+ 000B) .. .... 380 | F000 .. ... . |
|   130 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0627 (+ 000B) .. .... 360 | .... .. ... . |
|   131 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 340 | .... .. ... . |
|   132 | 0100 (C-0 80) 40 .... ... | 0627 (F#2 9E) .. .... 200 | 063D (+ 000B) .. .... 320 | .... .. ... . |
|   133 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 300 | .... .. ... . |
|   134 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 2E0 | .... .. ... . |
|   135 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 2C0 | .... .. ... . |
|   136 | 15ED  ... ..  01 00E5 ... | 0938 (C#3 A5) .. .... 200 | 0627 (- 000B) .. .... 2A0 | .... .. ... . |
|   137 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... 280 | EF00 .. ... . |
|   138 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 260 | EE00 .. ... . |
|   139 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 240 | ED00 .. ... . |
|   140 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 0627 (+ 000B) .. .... 220 | EC00 .. ... . |
|   141 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 200 | EB00 .. ... . |
|   142 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 1E0 | EA00 .. ... . |
|   143 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 1C0 | E900 .. ... . |
|   144 | 15ED  ... ..  01 00D5 ... | 1270 (C#4 B1) .. .... 200 | 063D (- 000B) .. .... 1A0 | .... .. ... . |
|   145 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0632 (- 000B) .. .... 180 | EF00 .. ... . |
|   146 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0627 (- 000B) .. .... 160 | EE00 .. ... . |
|   147 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 061C (- 000B) .. .... 140 | ED00 .. ... . |
|   148 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 0611 (- 000B) .. .... 120 | EC00 .. ... . |
|   149 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 061C (+ 000B) .. .... 100 | EB00 .. ... . |
|   150 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0627 (+ 000B) .. .... 0E0 | EA00 .. ... . |
|   151 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 100 | E900 .. ... . |
|   152 | 15ED  ... ..  01 0095 ... | 24E1 (C#5 BD) .. .... 200 | 063D (+ 000B) .. .... 120 | .... .. ... . |
|   153 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 140 | EF00 .. ... . |
|   154 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 160 | EE00 .. ... . |
|   155 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 180 | ED00 .. ... . |
|   156 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 0627 (- 000B) .. .... 1A0 | EC00 .. ... . |
|   157 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... 1C0 | EB00 .. ... . |
|   158 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 1E0 | EA00 .. ... . |
|   159 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 200 | E900 .. ... . |
|   160 | 15ED  ... ..  01 0055 ... | 1270 (C#4 B1) .. .... 200 | 0627 (+ 000B) .. .... 220 | .... .. ... . |
|   161 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 240 | EF00 .. ... . |
