Load address: $A600 Init address: $A600 Play address: $A603
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    68 | 08F1 (C-3 A4) .. .... 8C0 | 2386 (C-5 BC) .. .... 520 | ....  ... ..  .. .... ... | 8300 .. ... . |
|    69 | 08E1 (- 0010) .. .... 860 | 1A9C (G-4 B7) .. .... 4A0 | ....  ... ..  .. .... ... | 8400 .. ... . |
|    70 | 08D1 (- 0010) .. .... 800 | 2A3E (D#5 BF) .. .... 420 | ....  ... ..  .. .... ... | 8500 .. ... . |
|    71 | 08C1 (- 0010) .. .... 7A0 | 2386 (C-5 BC) .. .... 3A0 | ....  ... ..  .. .... ... | 8600 .. ... . |
|    72 | 08D1 (+ 0010) .. .... 740 | 1A9C (G-4 B7) .. .... 420 | 0E18  G#3 AC  11 .... ... | 8700 .. ... . |
|    73 | 08E1 (+ 0010) .. .... 6E0 | 2A3E (D#5 BF) .. .... 4A0 | 3400 (G-5 C3) 81 .... ... | 8800 .. ... . |
|    74 | 08F1 (+ 0010) .. .... 740 | 2386 (C-5 BC) .. .... 520 | 0A00 (D-3 A6) 41 .... ... | 8900 .. ... . |
|    75 | 0901 (C#3 A5) .. .... 7A0 | 1A9C (G-4 B7) .. .... 5A0 | 0800 (B-2 A3) 40 .... ... | 8A00 .. ... . |
|    76 | 0911 (+ 0010) .. .... 800 | 2A3E (D#5 BF) .. .... 620 | 0600 (F#2 9E) .. .... ... | 8B00 .. ... . |
|    77 | 0901 (- 0010) .. .... 860 | 2386 (C-5 BC) .. .... 6A0 | 0400 (B-1 97) .. .... ... | 8C00 .. ... . |
|    78 | 08F1 (C-3 A4) .. .... 8C0 | 1A9C (G-4 B7) .. .... 720 | 0500 (D-2 9A) .. .... ... | 8D00 .. ... . |
|    79 | 08E1 (- 0010) .. .... 920 | 2A3E (D#5 BF) .. .... 7A0 | 0600 (F#2 9E) .. .... ... | 8E00 .. ... . |
|    80 | 08D1 (- 0010) .. .... 980 | 2386 (C-5 BC) .. .... 820 | 0500 (D-2 9A) .. .... ... | 8F00 .. ... . |
|    81 | 08C1 (- 0010) .. .... 9E0 | 1A9C (G-4 B7) .. .... 8A0 | 0400 (B-1 97) .. .... ... | 9000 .. ... . |
|    82 | 08D1 (+ 0010) .. .... A40 | 2A3E (D#5 BF) .. .... 920 | 0500 (D-2 9A) .. .... ... | 9100 .. ... . |
|    83 | 08E1 (+ 0010) .. .... AA0 | 2386 (C-5 BC) .. .... 9A0 | ....  ... ..  .. .... ... | 9200 .. ... . |
|    84 | 08F1 (+ 0010) .. .... B00 | 1A9C (G-4 B7) .. .... A20 | ....  ... ..  .. .... ... | 9300 .. ... . |
