Load address: $8000 Init address: $8000 Play address: $8003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   166 | 2E76 (F-5 C1) .. .... 994 | 22CF (- 00D8) .. .... 908 | 22CF (+ 00B7) .. .... 908 | .... .. ... . |
|   167 | 22CF (C-5 BC) .. .... 904 | 21EC (- 00E3) .. .... 8C8 | 2391 (+ 00C2) .. .... 8C8 | .... .. ... . |
|   168 | ....  ... ..  .. .... ... | 2109 (B-4 BB) .. .... 888 | 2453 (C#5 BD) .. .... 888 | .... .. ... . |
|   169 | 0116  ... ..  00 0000 000 | 21EC (C-5 BC) .. .... 848 | 2391 (C-5 BC) .. .... 848 | .... .. ... . |
|   170 | ....  ... ..  .. .... ... | 22CF (+ 00E3) .. .... 888 | 22CF (- 00C2) .. .... 888 | .... .. ... . |
|   171 | ....  ... ..  .. .... ... | 23BD (+ 00EE) .. .... 8C8 | 2202 (- 00CD) .. .... 8C8 | .... .. ... . |
|   172 | ....  ... ..  .. .... ... | 24AB (C#5 BD) .. .... 908 | 2135 (B-4 BB) .. .... 908 | .... .. ... . |
|   173 | ....  ... ..  .. .... ... | 23BD (C-5 BC) .. .... 948 | 2202 (C-5 BC) .. .... 948 | .... .. ... . |
|   174 | ....  ... ..  .. .... ... | 22CF (- 00EE) .. .... 988 | 22CF (+ 00CD) .. .... 988 | .... .. ... . |
|   175 | ....  ... ..  .. .... ... | 21D6 (B-4 BB) .. .... 9C8 | 23A7 (+ 00D8) .. .... 9C8 | .... .. ... . |
|   176 | ....  ... ..  .. .... ... | 20DD (- 00F9) .. .... 988 | 247F (C#5 BD) .. .... 988 | .... .. ... . |
|   177 | ....  ... ..  .. .... ... | 21D6 (+ 00F9) .. .... 948 | 23A7 (C-5 BC) .. .... 948 | .... .. ... . |
|   178 | ....  ... ..  .. .... ... | 22CF (C-5 BC) .. .... 908 | 22CF (- 00D8) .. .... 908 | .... .. ... . |
|   179 | ....  ... ..  .. .... ... | 23D3 (+ 0104) .. .... 8C8 | 21EC (- 00E3) .. .... 8C8 | .... .. ... . |
|   180 | ....  ... ..  .. .... ... | 24D7 (C#5 BD) .. .... 888 | 2109 (B-4 BB) .. .... 888 | .... .. ... . |
|   181 | 173B  F-4 B5  41 0F06 484 | 23D3 (C-5 BC) .. .... 848 | 21EC (C-5 BC) .. .... 848 | .... .. ... . |
|   182 | 2E76 (F-5 C1) .. .... 514 | 22CF (- 0104) .. .... 888 | 22CF (+ 00E3) .. .... 888 | .... .. ... . |
|   183 | 22CF (C-5 BC) .. .... 5A4 | 21C0 (B-4 BB) .. .... 8C8 | 23BD (+ 00EE) .. .... 8C8 | .... .. ... . |
|   184 | 1BA0 (G#4 B8) 40 .... 634 | 20B1 (- 010F) .. .... 908 | 24AB (C#5 BD) .. .... 908 | .... .. ... . |
|   185 | 173B (F-4 B5) .. .... 6C4 | 21C0 (+ 010F) .. .... 948 | 23BD (C-5 BC) .. .... 948 | .... .. ... . |
|   186 | 2E76 (F-5 C1) .. .... 754 | 22CF (C-5 BC) .. .... 988 | 22CF (- 00EE) .. .... 988 | .... .. ... . |
|   187 | 22CF (C-5 BC) .. .... 7E4 | 23E9 (C#5 BD) .. .... 9C8 | 21D6 (B-4 BB) .. .... 9C8 | .... .. ... . |
