Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    83 | D4C8 (G-7 DB) .. .... ... | ....  ... ..  .. .... ... | 22CF (C-5 BC) .. .... C00 | .... .. ... . |
|    84 | D40D (- 00BB) .. .... ... | ....  ... ..  .. .... ... | 1D45 (A-4 B9) .. .... C30 | .... .. ... . |
|    85 | D4C8 (+ 00BB) .. .... ... | 1389 (D-4 B2) .. .... ... | 173B (F-4 B5) .. .... C60 | .... .. ... . |
|    86 | D40D (- 00BB) .. .... ... | 118A (C-4 B0) .. .... ... | 2E76 (F-5 C1) .. .... C90 | .... .. ... . |
|    87 | 0AF7 (E-3 A8) .. .... ... | 0F8B (A#3 AE) .. .... ... | 22CF (C-5 BC) .. .... CC0 | .... .. ... . |
|    88 | ....  ... ..  .. .... ... | 0D8C (G#3 AC) .. .... ... | 1D45 (A-4 B9) .. .... CF0 | .... .. ... . |
|    89 | ....  ... ..  .. .... ... | 0B8D (F-3 A9) .. .... ... | 173B (F-4 B5) .. .... D20 | .... .. ... . |
|    90 | ....  ... ..  .. .... ... | 098E (D-3 A6) .. .... ... | 2E76 (F-5 C1) .. .... D50 | .... .. ... . |
|    91 | 0AF7  E-3 A8  41 .... ... | 1389 (D-4 B2) .. .... ... | ....  ... ..  .. .... 900 | .... .. ... . |
|    92 | ....  ... ..  .. .... ... | 118A (C-4 B0) .. .... ... | 22CF (C-5 BC) .. .... 930 | .... .. ... . |
|    93 | ....  ... ..  .. .... ... | 0F8B (A#3 AE) .. .... ... | 1D45 (A-4 B9) .. .... 960 | .... .. ... . |
|    94 | ....  ... ..  80 .... ... | 0D8C (G#3 AC) .. .... ... | 173B (F-4 B5) .. .... 990 | .... .. ... . |
|    95 | D4C8 (G-7 DB) .. .... ... | 0B8D (F-3 A9) .. .... ... | 2E76 (F-5 C1) .. .... 9C0 | .... .. ... . |
|    96 | D40D (- 00BB) .. .... ... | 098E (D-3 A6) .. .... ... | 22CF (C-5 BC) .. .... 9F0 | .... .. ... . |
|    97 | 0AF7  E-3 A8  41 .... ... | 078F (A#2 A2) .. .... ... | 2E76 (F-5 C1) .. .... 900 | .... .. ... . |
|    98 | ....  ... ..  .. .... ... | 0590 (E-2 9C) .. .... ... | 22CF (C-5 BC) .. .... 930 | .... .. ... . |
|    99 | ....  ... ..  .. .... ... | 0391 (A-1 95) .. .... ... | 1D45 (A-4 B9) .. .... 960 | .... .. ... . |
|   100 | ....  ... ..  80 .... ... | 0192 (F#0 86) .. .... ... | 173B (F-4 B5) .. .... 990 | .... .. ... . |
|   101 | D4C8 (G-7 DB) .. .... ... | 0002 (C-0 80) .. .... ... | 2E76 (F-5 C1) .. .... 9C0 | .... .. ... . |
|   102 | D40D (- 00BB) .. .... ... | ....  ... ..  .. .... ... | 22CF (C-5 BC) .. .... 9F0 | .... .. ... . |
|   103 | 05CF  F-2 9D  41 0909 200 | 22CF (C-5 BC) .. 0D09 740 | 2E76 (F-5 C1) .. .... 900 | .... .. ... . |
